PV
0
0
0
0
0
0
0
0
0
0
0.034
0.086
0.156
0.106
0.008
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.029
0.108
0.304
0.413
0.409
0.249
0.04
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.034
0.082
0.088
0.1
0.132
0.102
0.02
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.001
0.003
0.009
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.017
0.044
0.082
0.139
0.143
0.082
0.013
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.011
0.118
0.308
0.309
0.168
0.124
0.078
0.01
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.008
0.011
0.005
0.007
0.005
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.01
0.022
0.012
0.007
0.008
0.003
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.022
0.038
0.026
0.022
0.021
0.008
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.011
0.099
0.226
0.343
0.373
0.252
0.079
0.011
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.012
0.01
0.007
0.003
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.004
0.008
0.028
0.049
0.051
0.017
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.001
0.026
0.075
0.08
0.039
0.015
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.038
0.216
0.36
0.429
0.373
0.287
0.152
0.031
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.014
0.018
0.019
0.021
0.01
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.001
0.004
0.017
0.04
0.026
0.011
0.005
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.005
0.066
0.158
0.273
0.329
0.372
0.294
0.084
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.106
0.34
0.49
0.552
0.534
0.405
0.183
0.021
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.028
0.157
0.36
0.5
0.503
0.44
0.283
0.071
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.121
0.34
0.487
0.556
0.556
0.488
0.343
0.121
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.025
0.138
0.332
0.54
0.519
0.387
0.178
0.039
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.06
0.226
0.441
0.526
0.546
0.485
0.346
0.125
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.054
0.181
0.435
0.538
0.546
0.475
0.327
0.113
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.055
0.159
0.257
0.316
0.359
0.302
0.134
0.042
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.03
0.122
0.187
0.2
0.178
0.141
0.061
0.015
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.011
0.029
0.041
0.041
0.037
0.006
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.006
0.074
0.123
0.155
0.079
0.06
0.046
0.025
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.025
0.085
0.4
0.458
0.379
0.254
0.109
0.04
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.08
0.264
0.443
0.486
0.381
0.288
0.203
0.057
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.081
0.218
0.328
0.36
0.331
0.25
0.155
0.059
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.018
0.067
0.129
0.203
0.262
0.333
0.337
0.151
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.03
0.244
0.357
0.275
0.176
0.096
0.047
0.022
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.008
0.018
0.03
0.033
0.029
0.014
0.005
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.021
0.047
0.063
0.054
0.031
0.014
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.056
0.189
0.461
0.598
0.611
0.523
0.39
0.189
0.007
0
0
0
0
0
0
0
0
0
0
0
0
0
0
